manufacturer_id,domain,Already processed
551307,stewartsmuchadoughaboutmuffin.com,551307
551367,sweetnectarcupcakery.com,551367
551363,allamericangrilleddelivery.com,551363
551404,sassygirlssalsa.com,551404
551423,dreamysweetspastries.com,551423
551457,azmixers.com,551457
551489,hotdoggi.com,551489
551509,piecraftstl.com,551509
551550,pierceyfreshstart.com,551550
551554,gourmetbakedpotatoes.com,551554
551560,daklakcoffeeroasting.com,551560
551583,jacksonbiscuit.com,551583
551589,capitanodeli.com,551589
551592,stickyspoons.com,551592
551594,mysouzas.com,551594
551625,sweetrevengebakeshoppe.com,551625
551684,fusionfoodsinternational.com,551684
551695,lazarusfarm.com,551695
551797,ambassadorseafoods.com,551797
551805,offthegirdbakery.com,551805
551826,bubble-crunch.com,551826
551852,countrypepperga.com,551852
551863,flowerdeliverycamarillo.com,551863
551871,itsyogood.com,551871
551928,portlandpetshop.net,551928
551946,chicopops.com,551946
15198,littlejohnscandies.com,15198
291967,safeguard.com,291967
181475,policies-wellcare.com,181475
181020,gulfcoastpaper.com,181020
371795,boutique.fermetournesol.qc.ca,371795
201746,technologyhamptonroads.com,201746
261446,saltonmass.com,261446
241079,realvalueiga.com,241079
251554,mcappliances.us,251554
291993,insidepamagazine.com,291993
561365,meteoricbiopharma.com,No
561482,jwell.cn,No
561505,richall.com,No
561610,rigby.ca,No
561628,myprintcompany.ca,No
69166,npb-info.com,69166
521018,fhf.spartanstores.com,521018
521059,accufood.com,521059
521062,momsmagicmasala.com,521062
521280,freshmillions.com,521280
521303,delightfulnaturalfood.com,521303
521332,lovebertsbites.com,521332
521407,hogbackfarm.com,521407
521452,petbytasty.com,521452
521493,solerachocolates.com,521493
521597,jeffcocider.com,521597
521605,candycounter.net,521605
521897,myersmeatmarket.com,521897
521913,letsplate.co,521913
61153,tinyharvest.in,61153
541003,fluffalicious.com,541003
541099,chopstickslongbeach.takeweborders.com,541099
541111,juicedmarket.com,541111
541179,freshwagyu.com,541179
541209,marketplacebakery.com,541209
541247,nahalalmarket.com,541247
541249,thecaterx.com,541249
541291,corporatebeverageservices.com,541291
541316,lacrosseoliveoil.com,541316
541401,seaportoilandvinegar.com,541401
541422,expressheattreatny.com,541422
541485,visualanatomy.com,541485
541508,alfredosdeli.net,541508
541519,beehollowmarket.com,541519
541556,worldsfoods.com,541556
541580,icenez.com,541580
541770,wrightsbarbq.com,541770
541784,pmt.com,541784
541812,cupcakerybythesea.com,541812
541845,europanbakerycafeus.com,541845
541857,betsysbakery.com,541857
541882,carniceriacompare.com,541882
541898,pasteleriacoyhaique.cl,541898
541913,justagrind.com,541913
541927,lolastyler.com,541927
541968,ggg-f.com,541968
541970,rsfoodmarket.com,541970
60150,itsfoodforthought.com,60150
9917,mastermartini.com,9917
151977,amandasoil.com,151977
101857,yougov.com,101857
111239,cravencateringcompanychef.us,111239
151161,polancicsmeatsanddeli.com,151161
67160,graciasmadrerum.com,67160
301638,betterthannature.shop,301638
161242,angusjournal.com,161242
98197,bit.ly,98197
101292,trimhealthymama.com,101292
341446,sports.williamhill.com,341446
351407,assets.personalwine.com,351407
501606,winefactory.ca,501606
121685,carolinawinebrandsusa.com,121685
111818,finalsite.net,111818
101731,readthedocs.io,101731
251360,focacciaconqueso.com,251360
291577,cookingisfun.ie,291577
391608,foodsby.com,391608
